NOMBRE	FECHA DE LICENCIAMIENTO	DEPARTAMENTO/PROVINCIA	TIPO DE GESTION	DIRECCION	ZIPCODE
Universidad Nacional Pedro Ruiz Gallo	09-06-2023	Lambayeque/Lambayeque	Pública	Juan XXIII 391, Lambayeque 	14013
Universidad Nacional San Luis Gonzaga	15-01-2022	Ica/Ica	Pública	Av de los Maestros, Ica 	11004
Universidad Autónoma de Ica	13-06-2020	Ica/Chincha	Privada	Avenida Abelardo Alva Maurtua 489, Chincha Alta 	11701
Facultad de Teología Pontificia y Civil de Lima	14-03-2020	Lima/Lima	Privada	C. Carlos Bondy 700, Pueblo Libre 	15086
Universidad Nacional Federico Villarreal	11-03-2020	Lima/Lima	Pública	Av. Nicolás de Piérola 351, Lima 	15001
Universidad Tecnológica de los Andes	29-02-2020	Apurímac/Abancay	Privada	Av Perú 312, Abancay 	03001
Universidad Peruana Los Andes	18-02-2020	Junín/Huancayo	Privada	Av. Ferrocarril 760, Huancayo 	12007
Universidad Nacional Micaela Bastidas de Apurímac	05-02-2020	Apurímac/Abancay	Pública	94JM+X2M, Av. Inca Garcilazo de la Vega, Abancay 03001	03001
Universidad Nacional José Faustino Sánchez Carrión	28-01-2020	Lima/Huaura	Pública	Pje. Mercedes Indacochea 609, Huacho 	15136
Universidad Señor de Sipán	03-01-2020	Lambayeque/Chiclayo	Privada	6437+XWF, Chiclayo 	14000
Universidad Nacional del Callao	24-12-2019	Callao/Prov. Const. del Callao	Pública	Av. Juan Pablo Ⅱ 306, Bellavista 	07011
Universidad Nacional de Educación Enrique Guzmán y Valle	13-12-2019	Lima/Lima	Pública	Enrique Guzman Y Valle N° 951, Lurigancho-Chosica 	15472
Universidad Privada Norbert Wiener	11-12-2019	Lima/Lima	Privada	Jr. Larrabure y Unanue 110, Av. Arequipa 440, Lima  	15046
Universidad Nacional de Tumbes	03-12-2019	Tumbes/Tumbes	Pública	Av. Universitaria 1375, Tumbes	24001
Universidad Privada San Juan Bautista	08-11-2019	Lima/Lima	Privada	Ex Hacienda Villa, Av José Antonio Lavalle N° 302, Chorrillos 	15067
Universidad Nacional Amazónica de Madre de Dios	12-10-2019	Madre de Dios/Tambopata	Pública	Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado 	17001
Universidad Nacional Agraria de la Selva	29-08-2019	Huánuco/Leoncio Prado	Pública	CAR.CENTRAL KM. 1.21, Tingo María	10131
Universidad Nacional Daniel Alcides Carrión	22-08-2019	Pasco/Pasco	Pública	8PJW+JVG, Cerro De Pasco 	19031
Universidad Privada Peruano Alemana	06-08-2019	Lima/Lima	Privada	Av. Alejandro Iglesias 296, Chorrillos 	15064
